Nombre,Autor
Childs Play,Reginald Hill
Heartstopper,Joey Fielding
Book of the dead,Patricia Cornwell
Black Notice,Patricia Cornwell
Trace,Patricia Cornwell
A Judgement in Stone,Ruth Rendell
A cold heart,Jonathan Kellerman
The conspiracy club,Jonathan Kellerman
Sliver,Ira Levin
Hunting Badger,Tony Hillerman
People of Darkness,Tony Hillerman
The George Eliot Murders,Edith Skom
The Ghostway,Tony Hillerman
The Fly on the wall,Tony Hillerman
The Walking Wind,Tony Hillerman
The Blessing Way,Tony Hillerman
Listening Woman,Tony Hillerman
Survival of the Fittest,Jonathan Kellerman
Private Eyes,Jonathan Kellerman
Bad Love,Jonathan Kellerman
Guilt,Jonathan Kellerman
The Pack,Jodi Picoult
The Last victim,Karen Robards
School Days,Robert B. Parker
Want To Play?,P. J. Tracy
Asking for the Moon,Reginald Hill
Whe wood Beyond,Reginald Hill
Rosemary Baby,Ira Levin
Garden of Malice,Susan Kenny
A Daisy for Satan,Joan Fleming
The Spy´s Wife,Reginald Hill
A Pinch of Snuff,Reginald Hill
Underworld,Reginald Hill
Crimes of the Heart,"Dorothy Cannell, Carolyn G. Hart"
A Question Of Inheritance,Josephine Bell
The killing at Badger's Drift,Caroline Graham
Summer of 42,Henan Raucher
The long Kill,Patrick Ruell
Predator,Patricia Cornwell
Someon´s Watching,Judith Kelman
Bel Canto,Ann Patchett
Bordelands,Joe R. Landsdale
Memoirs of a Woman of Pleasure,Fanny Hill
Dead and Alive,Hammond Innes
Levkas Man,Hammond Innes
Who Goes There,John W. Cambell Jr.
A Hank of hair,Charlotte Jay
The Stately Home Murder,Catherine Aird
A late Phoenix,Catherine Aird
Some Die Eloquent,Catherine Aird
The Lord of the Ring Part One,J. R. R. Tolkien
The Lord of the Ring Part Two,J. R. R. Tolkien
The Lord of the Ring Part Three,J. R. R. Tolkien
Mrs Meeker´s Money,Doris Miles Disney
Void Moon,Michael Connelly
The Lincoln Layer,Michael Connelly
The Hospitality of the House,Doris Miles Disney
any deadly Returns,Patricia Moyes
Johnny Under Ground,Patricia Moyes
Murder Being Once Done,Ruth Rendell
From doon with death,Ruth Rendell
White Fang,Jack London
"The Call of the Wild, White Fang",Jack London
Woman of Mysthery 2,Ruth Rendell
Here Lies,Doris Miles Disney
The Day miss bessie Lewis Disappeared,Doris Miles Disney
The magic Grandfather,Doris Miles Disney
Shadow of a Man,Doris Miles Disney
The Keys to the Street,Ruth Rendell
From doon with death,Ruth Rendell
Some Lie and Some Die,Ruth Rendell
The Web,Jonathan Kellerman
Who rides a tiger,Doris Miles Disney
Murder a la mode,Patricia Moyes
Night of clear choice,Doris Miles Disney
The girl in a Swing ,Richard Adams
The plague dogs,Richard Adams
The ill made Kight,T. H. White
The Witch in the wood,T. H. White
His burial Too,Catherine Aird
Time Bomb,Jonathan Kellerman
The Bridesmaid,Ruth Rendell
Live Flesh,Ruth Rendell
Vanity dies Hard,Ruth Rendell
The copper peacock,Ruth Rendell
The new Girl Friend,Ruth Rendell
Talking to strange Men,Ruth Rendell
The face of trespass,Ruth Rendell
A new lease of death,Ruth Rendell
To fear a painted devil,Ruth Rendell
A Fool for Murder,Marian Babson
Murder Sails at Midnitght,Marian Babson
The mysterious commission,Michael Innes
The New sonia Wayward,Michael Innes
Gone,Jonathan Kellerman
AmericanPsycho,Bret Easton Ellis
A mind to Murder,Anna Clarke
My search for Ruth,Anna Clarke
The Ampersand Pappers,Michael Innes
A change of Hir,Michael Innes
A traitor to memory,Elizabeth George
With no noe as Wittness,Elizabeth George
Death of a Unicorn,Peter Dickinson
A pride of heroes,Peter Dickinson
The last Houseparty,Peter Dickinson
The old English peep Show,Peter Dickinson
The Darkened Room,Anna Clarke
The end of a Shadow,Anna Clarke
Trouble in Paradise,Robert B. Parker
Cold Service,Robert B. Parker
Chance,Robert B. Parker
Thin Air,Robert B. Parker
Hush Money,Robert B. Parker
All that remains,Patricia Cornwell
The Brass Cupcake,Jhon D. MacDonald
The Loney Silver Rain,Jhon D. MacDonald
Walkin Shadow,Robert B. Parker
Seven,Jhon D. MacDonald
